timestamp,event,query,file,lang,category,rating,extra
2026-05-06T11:07:09,welcome,,,en,,,
2026-05-06T11:12:25,welcome,,,en,,,
2026-05-06T11:13:33,voice_search,Tell you to.,,en,,,
2026-05-06T11:14:41,welcome,,,en,,,
2026-05-06T11:14:51,voice_search,The Modern.,,en,,,
2026-05-06T11:35:50,welcome,,,en,,,
2026-05-06T11:36:54,welcome,,,en,,,
2026-05-06T11:37:01,welcome,,,en,,,
2026-05-06T12:57:42,welcome,,,en,,,
2026-05-06T12:58:44,welcome,,,en,,,
2026-05-06T12:59:07,voice_search,You can search by typing or by voice.,,en,,,
2026-05-06T13:00:15,typed_search,,,en,,,
2026-05-06T13:00:52,read_start,,the_mordant_eberle_cleaned.txt,en,English,,
2026-05-06T16:17:12,welcome,,,en,,,
2026-05-06T16:20:31,welcome,,,en,,,
2026-05-06T16:24:27,welcome,,,en,,,
2026-05-06T16:24:41,voice_search,Scanner very.,,en,,,
2026-05-06T16:25:03,voice_search,Search the mordent.,,en,,,
2026-05-06T16:25:28,voice_search,Search from the hidden way.,,en,,,
2026-05-06T16:26:00,welcome,,,en,,,
2026-05-06T16:26:30,welcome,,,en,,,
2026-05-06T16:26:44,voice_search,Search Africa.,,en,,,
2026-05-06T16:39:07,voice_search,Action.,,en,,,
2026-05-06T17:00:48,welcome,,,en,,,
2026-05-06T17:01:04,voice_search,I did not understand.,,en,,,
2026-05-06T17:01:10,welcome,,,en,,,
2026-05-06T17:01:21,voice_search,Akshay.,,en,,,
2026-05-06T17:26:34,welcome,,,en,,,
2026-05-06T17:50:55,welcome,,,en,,,
2026-05-06T17:51:46,typed_search,,,en,,,
2026-05-06T17:52:53,pause,,africa_ferrer_i_codina_cleaned.txt,en,,,
2026-05-06T17:55:10,welcome,,,en,,,
2026-05-06T17:55:56,welcome,,,en,,,
2026-05-06T17:56:28,typed_search,,,en,,,
2026-05-06T17:57:33,welcome,,,en,,,
2026-05-06T17:59:04,pause,,africa_ferrer_i_codina_cleaned.txt,en,,,
2026-05-06T18:07:30,welcome,,,en,,,
2026-05-06T18:08:13,welcome,,,en,,,
2026-05-06T18:09:06,welcome,,,en,,,
2026-05-06T18:11:34,pause,,paulmerruau_unknown_author_cleaned.txt,en,,,
2026-05-06T18:20:25,welcome,,,en,,,
2026-05-06T18:21:37,welcome,,,en,,,
